"Class" "Order" "Family" "frac" "log2FoldChange.mean" "log2FoldChange.se" "log2FoldChange.n"
"38" "Alphaproteobacteria" "Defluviicoccales" "Defluviicoccales_uncl" "FL" 6.81507483473666 NA 1
"39" "Gammaproteobacteria" "EPR3968-O8a-Bc78" "EPR3968-O8a-Bc78_uncl" "FL" 6.18957550527994 NA 1
"40" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "FL" 6.76977149713297 NA 1
"41" "Alphaproteobacteria" "Rhodospirillales" "Magnetospiraceae" "FL" 3.70245101047482 0.565654865896864 3
"42" "Thermoplasmata" "Marine_Group_II" "Marine_Group_II_uncl" "FL" 7.70013910470093 NA 1
"43" "Marinimicrobia_(SAR406_clade)_uncl" "Marinimicrobia_(SAR406_clade)_uncl" "Marinimicrobia_(SAR406_clade)_uncl" "FL" 4.18051716596983 0.663030730747375 3
"44" "Acidimicrobiia" "Microtrichales" "Microtrichaceae" "FL" 4.95555321354497 1.01936705875521 2
"45" "Alphaproteobacteria" "Thalassobaculales" "Nisaeaceae" "FL" 8.13424510586263 NA 1
"46" "Gammaproteobacteria" "Oceanospirillales" "Nitrincolaceae" "FL" 2.5704922453183 0.634911772033153 2
"47" "Nitrososphaeria" "Nitrosopumilales" "Nitrosopumilaceae" "FL" 5.37654560959684 0.857425371004162 6
"48" "Bacteroidia" "Flavobacteriales" "NS9_marine_group" "FL" 22.47521980474 NA 1
"49" "Gammaproteobacteria" "OM182_clade" "OM182_clade_uncl" "FL" 7.17166583996043 NA 1
"50" "Planctomycetes" "Pirellulales" "Pirellulaceae" "FL" 5.5316299862612 NA 1
"51" "Gammaproteobacteria" "Cellvibrionales" "Porticoccaceae" "FL" 2.98231537488218 NA 1
"52" "Verrucomicrobiae" "Opitutales" "Puniceicoccaceae" "FL" 6.07236127996925 NA 1
"53" "Dehalococcoidia" "SAR202_clade" "SAR202_clade_uncl" "FL" 5.89787778127289 0.0898204266457168 5
"54" "SAR324_clade(Marine_group_B)_uncl" "SAR324_clade(Marine_group_B)_uncl" "SAR324_clade(Marine_group_B)_uncl" "FL" 2.87096117763578 NA 1
"55" "Alphaproteobacteria" "Sneathiellales" "Sneathiellaceae" "FL" 5.86535341842355 NA 1
"56" "Thermoplasmata" "Thermoplasmata_or" "Thermoplasmata_fa" "FL" 7.89252882184696 NA 1
"57" "Vicinamibacteria" "Vicinamibacterales" "Vicinamibacteraceae" "FL" 5.50855965797435 NA 1
"58" "Bacteria_uncl" "Bacteria_uncl" "Bacteria_uncl" "PA" 22.2066974649996 NA 1
"59" "Gammaproteobacteria" "Alteromonadales" "Colwelliaceae" "PA" 6.5731042099776 NA 1
"60" "Thermoplasmata" "Marine_Group_II" "Marine_Group_II_uncl" "PA" 7.56704578938453 NA 1
"61" "Marinimicrobia_(SAR406_clade)_uncl" "Marinimicrobia_(SAR406_clade)_uncl" "Marinimicrobia_(SAR406_clade)_uncl" "PA" 7.00344193774954 NA 1
"62" "NB1-j_uncl" "NB1-j_uncl" "NB1-j_uncl" "PA" 5.40213930740889 NA 1
"63" "Alphaproteobacteria" "Thalassobaculales" "Nisaeaceae" "PA" 6.42916149356278 NA 1
"64" "Bacteroidia" "Flavobacteriales" "NS9_marine_group" "PA" 8.4653864586933 NA 1
"65" "Lentisphaeria" "P.palmC41" "P.palmC41_uncl" "PA" 4.05500604391561 NA 1
"66" "Planctomycetes" "Pirellulales" "Pirellulaceae" "PA" 6.98918914547839 0.133300154936474 3
"67" "Gammaproteobacteria" "Cellvibrionales" "Porticoccaceae" "PA" 7.92419993880302 NA 1
"68" "Gammaproteobacteria" "SAR86_clade" "SAR86_clade_uncl" "PA" 6.84902228798217 0.43713301731916 2
